时间戳,时间,动作,方向,市场,价格,数量,USDC金额,OutcomeIndex
1765384262,2025-12-11 00:31:02,BUY,Down,btc-updown-15m-1765384200,0.6600000640983749,7.176469,4.73647,1
1765384266,2025-12-11 00:31:06,BUY,Up,btc-updown-15m-1765384200,0.31,18.0,5.58,0
1765384266,2025-12-11 00:31:06,BUY,Up,btc-updown-15m-1765384200,0.32,18.0,5.76,0
1765384266,2025-12-11 00:31:06,BUY,Up,btc-updown-15m-1765384200,0.32,18.0,5.76,0
1765384266,2025-12-11 00:31:06,BUY,Up,btc-updown-15m-1765384200,0.32,18.0,5.76,0
1765384266,2025-12-11 00:31:06,BUY,Up,btc-updown-15m-1765384200,0.32,18.0,5.76,0
1765384266,2025-12-11 00:31:06,BUY,Up,btc-updown-15m-1765384200,0.32,18.0,5.76,0
1765384266,2025-12-11 00:31:06,BUY,Up,btc-updown-15m-1765384200,0.32,18.0,5.76,0
1765384270,2025-12-11 00:31:10,BUY,Down,btc-updown-15m-1765384200,0.6500000645491949,6.971427,4.531428,1
1765384272,2025-12-11 00:31:12,BUY,Down,btc-updown-15m-1765384200,0.65,6.02,3.913,1
1765384272,2025-12-11 00:31:12,BUY,Down,btc-updown-15m-1765384200,0.6500004729737542,0.951427,0.618428,1
1765384272,2025-12-11 00:31:12,BUY,Down,btc-updown-15m-1765384200,0.65,5.0,3.25,1
1765384274,2025-12-11 00:31:14,BUY,Down,btc-updown-15m-1765384200,0.65,7.2,4.68,1
1765384274,2025-12-11 00:31:14,BUY,Down,btc-updown-15m-1765384200,0.65,18.0,11.7,1
1765384276,2025-12-11 00:31:16,BUY,Up,btc-updown-15m-1765384200,0.35,18.0,6.3,0
1765384276,2025-12-11 00:31:16,BUY,Up,btc-updown-15m-1765384200,0.3400000276439924,2.893938,0.983939,0
1765384278,2025-12-11 00:31:18,BUY,Down,btc-updown-15m-1765384200,0.65,18.0,11.7,1
1765384286,2025-12-11 00:31:26,BUY,Down,btc-updown-15m-1765384200,0.69,18.0,12.42,1
1765384286,2025-12-11 00:31:26,BUY,Down,btc-updown-15m-1765384200,0.69,0.68,0.4692,1
1765384286,2025-12-11 00:31:26,BUY,Down,btc-updown-15m-1765384200,0.69,6.32,4.3608,1
