时间戳,时间,动作,方向,市场,价格,数量,USDC金额,OutcomeIndex
1767043830,25-12-30 05:30:30,BUY,Down,btc-updown-15m-1767043800,0.480000,10.0,4.800000,1
1767043830,25-12-30 05:30:30,BUY,Up,btc-updown-15m-1767043800,0.480000,10.0,4.800000,0
1767043831,25-12-30 05:30:31,BUY,Down,btc-updown-15m-1767043800,0.450000,10.0,4.500000,1
1767043831,25-12-30 05:30:31,BUY,Up,btc-updown-15m-1767043800,0.510000,10.0,5.100000,0
1767043831,25-12-30 05:30:31,BUY,Up,btc-updown-15m-1767043800,0.470000,10.0,4.700000,0
1767043831,25-12-30 05:30:31,BUY,Down,btc-updown-15m-1767043800,0.490000,10.0,4.900000,1
1767043831,25-12-30 05:30:31,BUY,Down,btc-updown-15m-1767043800,0.460000,10.0,4.600000,1
1767043831,25-12-30 05:30:31,BUY,Up,btc-updown-15m-1767043800,0.500000,10.0,5.000000,0
1767043833,25-12-30 05:30:33,BUY,Down,btc-updown-15m-1767043800,0.490000,10.0,4.900000,1
1767043833,25-12-30 05:30:33,BUY,Up,btc-updown-15m-1767043800,0.470000,10.0,4.700000,0
1767043833,25-12-30 05:30:33,BUY,Down,btc-updown-15m-1767043800,0.460000,10.0,4.600000,1
1767043833,25-12-30 05:30:33,BUY,Up,btc-updown-15m-1767043800,0.500000,10.0,5.000000,0
1767043836,25-12-30 05:30:36,BUY,Down,btc-updown-15m-1767043800,0.460000,10.0,4.600000,1
1767043836,25-12-30 05:30:36,BUY,Up,btc-updown-15m-1767043800,0.500000,10.0,5.000000,0
1767043836,25-12-30 05:30:36,BUY,Down,btc-updown-15m-1767043800,0.490000,10.0,4.900000,1
1767043836,25-12-30 05:30:36,BUY,Up,btc-updown-15m-1767043800,0.470000,10.0,4.700000,0
