时间戳,时间,动作,方向,市场,价格,数量,USDC金额,OutcomeIndex
1765388722,2025-12-11 01:45:22,BUY,Down,btc-updown-15m-1765388700,0.52,5.0,2.6,1
1765388724,2025-12-11 01:45:24,BUY,Up,btc-updown-15m-1765388700,0.42,18.0,7.56,0
1765388724,2025-12-11 01:45:24,BUY,Up,btc-updown-15m-1765388700,0.42,3.0,1.26,0
1765388724,2025-12-11 01:45:24,BUY,Up,btc-updown-15m-1765388700,0.42,5.0,2.1,0
1765388724,2025-12-11 01:45:24,BUY,Up,btc-updown-15m-1765388700,0.42,15.0,6.3,0
1765388726,2025-12-11 01:45:26,BUY,Up,btc-updown-15m-1765388700,0.42,18.0,7.56,0
1765388726,2025-12-11 01:45:26,BUY,Up,btc-updown-15m-1765388700,0.42,18.0,7.56,0
1765388726,2025-12-11 01:45:26,BUY,Up,btc-updown-15m-1765388700,0.42,8.23,3.4566,0
1765388726,2025-12-11 01:45:26,BUY,Up,btc-updown-15m-1765388700,0.42,5.0,2.1,0
1765388726,2025-12-11 01:45:26,BUY,Up,btc-updown-15m-1765388700,0.4200001348838987,2.224135,0.934137,0
1765388726,2025-12-11 01:45:26,BUY,Up,btc-updown-15m-1765388700,0.42,6.0,2.52,0
1765388726,2025-12-11 01:45:26,BUY,Up,btc-updown-15m-1765388700,0.42,3.77,1.5834,0
1765388726,2025-12-11 01:45:26,BUY,Up,btc-updown-15m-1765388700,0.42,5.77,2.4234,0
1765388730,2025-12-11 01:45:30,BUY,Down,btc-updown-15m-1765388700,0.56,18.0,10.08,1
1765388736,2025-12-11 01:45:36,BUY,Down,btc-updown-15m-1765388700,0.53,18.0,9.54,1
1765388736,2025-12-11 01:45:36,BUY,Down,btc-updown-15m-1765388700,0.53,18.0,9.54,1
1765388736,2025-12-11 01:45:36,BUY,Down,btc-updown-15m-1765388700,0.53,8.63,4.5739,1
1765388738,2025-12-11 01:45:38,BUY,Down,btc-updown-15m-1765388700,0.53,18.0,9.54,1
1765388738,2025-12-11 01:45:38,BUY,Down,btc-updown-15m-1765388700,0.53,18.0,9.54,1
1765388738,2025-12-11 01:45:38,BUY,Down,btc-updown-15m-1765388700,0.53,18.0,9.54,1
1765388738,2025-12-11 01:45:38,BUY,Down,btc-updown-15m-1765388700,0.53,18.0,9.54,1
1765388738,2025-12-11 01:45:38,BUY,Down,btc-updown-15m-1765388700,0.5300000502045515,9.361701,4.961702,1
1765388740,2025-12-11 01:45:40,BUY,Down,btc-updown-15m-1765388700,0.52,5.0,2.6,1
1765388742,2025-12-11 01:45:42,BUY,Down,btc-updown-15m-1765388700,0.51,10.0,5.1,1
1765388742,2025-12-11 01:45:42,BUY,Down,btc-updown-15m-1765388700,0.51,8.0,4.08,1
1765388744,2025-12-11 01:45:44,BUY,Up,btc-updown-15m-1765388700,0.43,5.0,2.15,0
1765388746,2025-12-11 01:45:46,BUY,Up,btc-updown-15m-1765388700,0.45,5.0,2.25,0
1765388750,2025-12-11 01:45:50,BUY,Down,btc-updown-15m-1765388700,0.59,5.0,2.95,1
1765388752,2025-12-11 01:45:52,BUY,Down,btc-updown-15m-1765388700,0.5900000931818817,2.682925,1.582926,1
1765388752,2025-12-11 01:45:52,BUY,Down,btc-updown-15m-1765388700,0.5900001053552051,2.372925,1.400026,1
1765388754,2025-12-11 01:45:54,BUY,Up,btc-updown-15m-1765388700,0.4,0.23,0.092,0
1765388756,2025-12-11 01:45:56,BUY,Up,btc-updown-15m-1765388700,0.4,15.0,6.0,0
1765388756,2025-12-11 01:45:56,BUY,Up,btc-updown-15m-1765388700,0.4,2.77,1.108,0
1765388762,2025-12-11 01:46:02,BUY,Up,btc-updown-15m-1765388700,0.39,2.0,0.78,0
1765388764,2025-12-11 01:46:04,BUY,Down,btc-updown-15m-1765388700,0.5,18.0,9.0,1
1765388764,2025-12-11 01:46:04,BUY,Down,btc-updown-15m-1765388700,0.5,2.0,1.0,1
1765388764,2025-12-11 01:46:04,BUY,Down,btc-updown-15m-1765388700,0.5,18.0,9.0,1
1765388764,2025-12-11 01:46:04,BUY,Down,btc-updown-15m-1765388700,0.5,16.0,8.0,1
1765388764,2025-12-11 01:46:04,BUY,Up,btc-updown-15m-1765388700,0.4800000305882425,6.53846,3.138461,0
1765388766,2025-12-11 01:46:06,BUY,Down,btc-updown-15m-1765388700,0.51,5.0,2.55,1
1765388766,2025-12-11 01:46:06,BUY,Down,btc-updown-15m-1765388700,0.5,5.0,2.5,1
1765388766,2025-12-11 01:46:06,BUY,Down,btc-updown-15m-1765388700,0.5,1.0,0.5,1
1765388766,2025-12-11 01:46:06,BUY,Down,btc-updown-15m-1765388700,0.5,5.0,2.5,1
1765388766,2025-12-11 01:46:06,BUY,Down,btc-updown-15m-1765388700,0.5,8.0,4.0,1
1765388768,2025-12-11 01:46:08,BUY,Down,btc-updown-15m-1765388700,0.53,18.0,9.54,1
1765388768,2025-12-11 01:46:08,BUY,Down,btc-updown-15m-1765388700,0.53,18.0,9.54,1
1765388768,2025-12-11 01:46:08,BUY,Down,btc-updown-15m-1765388700,0.5400001589091805,2.391303,1.291304,1
1765388770,2025-12-11 01:46:10,BUY,Up,btc-updown-15m-1765388700,0.46000021600011,2.037036,0.937037,0
1765388770,2025-12-11 01:46:10,BUY,Up,btc-updown-15m-1765388700,0.4600000495000161,8.888886,4.088888,0
1765388770,2025-12-11 01:46:10,BUY,Up,btc-updown-15m-1765388700,0.47,18.0,8.46,0
1765388770,2025-12-11 01:46:10,BUY,Up,btc-updown-15m-1765388700,0.4600000360000036,11.11111,5.111111,0
1765388770,2025-12-11 01:46:10,BUY,Up,btc-updown-15m-1765388700,0.46,18.0,8.28,0
1765388770,2025-12-11 01:46:10,BUY,Up,btc-updown-15m-1765388700,0.46,5.0,2.3,0
1765388770,2025-12-11 01:46:10,BUY,Up,btc-updown-15m-1765388700,0.46000021600011,2.037036,0.937037,0
1765388772,2025-12-11 01:46:12,BUY,Up,btc-updown-15m-1765388700,0.47,18.0,8.46,0
1765388772,2025-12-11 01:46:12,BUY,Up,btc-updown-15m-1765388700,0.47,18.0,8.46,0
1765388772,2025-12-11 01:46:12,BUY,Up,btc-updown-15m-1765388700,0.47,18.0,8.46,0
1765388772,2025-12-11 01:46:12,BUY,Up,btc-updown-15m-1765388700,0.47,9.16,4.3052,0
1765388776,2025-12-11 01:46:16,BUY,Up,btc-updown-15m-1765388700,0.49000005100004124,2.156861,1.056862,0
1765388776,2025-12-11 01:46:16,BUY,Up,btc-updown-15m-1765388700,0.49000005100004124,2.156861,1.056862,0
1765388778,2025-12-11 01:46:18,BUY,Up,btc-updown-15m-1765388700,0.5,4.6,2.3,0
1765388778,2025-12-11 01:46:18,BUY,Up,btc-updown-15m-1765388700,0.4900000138125025,9.411763,4.611764,0
1765388778,2025-12-11 01:46:18,BUY,Up,btc-updown-15m-1765388700,0.5,7.0,3.5,0
1765388778,2025-12-11 01:46:18,BUY,Up,btc-updown-15m-1765388700,0.5,4.42,2.21,0
1765388778,2025-12-11 01:46:18,BUY,Up,btc-updown-15m-1765388700,0.49000005100004124,2.156861,1.056862,0
1765388778,2025-12-11 01:46:18,BUY,Up,btc-updown-15m-1765388700,0.4800000756364214,2.115383,1.015384,0
1765388782,2025-12-11 01:46:22,BUY,Down,btc-updown-15m-1765388700,0.4600000812234102,5.170923,2.378625,1
1765388782,2025-12-11 01:46:22,BUY,Down,btc-updown-15m-1765388700,0.46,5.0,2.3,1
1765388782,2025-12-11 01:46:22,BUY,Down,btc-updown-15m-1765388700,0.46,6.0,2.76,1
1765388800,2025-12-11 01:46:40,BUY,Down,btc-updown-15m-1765388700,0.5,8.0,4.0,1
1765388800,2025-12-11 01:46:40,BUY,Down,btc-updown-15m-1765388700,0.5,10.0,5.0,1
1765388802,2025-12-11 01:46:42,BUY,Up,btc-updown-15m-1765388700,0.5,18.0,9.0,0
1765388802,2025-12-11 01:46:42,BUY,Up,btc-updown-15m-1765388700,0.5,18.0,9.0,0
1765388802,2025-12-11 01:46:42,BUY,Up,btc-updown-15m-1765388700,0.5,18.0,9.0,0
1765388802,2025-12-11 01:46:42,BUY,Up,btc-updown-15m-1765388700,0.5,18.0,9.0,0
1765388802,2025-12-11 01:46:42,BUY,Up,btc-updown-15m-1765388700,0.5,18.0,9.0,0
1765388802,2025-12-11 01:46:42,BUY,Up,btc-updown-15m-1765388700,0.5,18.0,9.0,0
1765388804,2025-12-11 01:46:44,BUY,Down,btc-updown-15m-1765388700,0.49,10.0,4.9,1
1765388804,2025-12-11 01:46:44,BUY,Down,btc-updown-15m-1765388700,0.490000043350018,3.921567,1.921568,1
1765388806,2025-12-11 01:46:46,BUY,Down,btc-updown-15m-1765388700,0.490000054202919,4.058822,1.988823,1
1765388806,2025-12-11 01:46:46,BUY,Down,btc-updown-15m-1765388700,0.49,0.01,0.0049,1
1765388806,2025-12-11 01:46:46,BUY,Down,btc-updown-15m-1765388700,0.49,6.99,3.4251,1
1765388806,2025-12-11 01:46:46,BUY,Down,btc-updown-15m-1765388700,0.49,5.0,2.45,1
1765388808,2025-12-11 01:46:48,BUY,Down,btc-updown-15m-1765388700,0.57,10.0,5.7,1
1765388810,2025-12-11 01:46:50,BUY,Up,btc-updown-15m-1765388700,0.41,18.0,7.38,0
1765388812,2025-12-11 01:46:52,BUY,Up,btc-updown-15m-1765388700,0.42,5.0,2.1,0
1765388814,2025-12-11 01:46:54,BUY,Up,btc-updown-15m-1765388700,0.42,1.89655,0.796551,0
1765388816,2025-12-11 01:46:56,BUY,Down,btc-updown-15m-1765388700,0.6,18.0,10.8,1
1765388818,2025-12-11 01:46:58,BUY,Down,btc-updown-15m-1765388700,0.6,18.0,10.8,1
1765388818,2025-12-11 01:46:58,BUY,Down,btc-updown-15m-1765388700,0.6,18.0,10.8,1
1765388818,2025-12-11 01:46:58,BUY,Down,btc-updown-15m-1765388700,0.6,18.0,10.8,1
1765388818,2025-12-11 01:46:58,BUY,Down,btc-updown-15m-1765388700,0.6,18.0,10.8,1
1765388818,2025-12-11 01:46:58,BUY,Down,btc-updown-15m-1765388700,0.6,18.0,10.8,1
1765388818,2025-12-11 01:46:58,BUY,Down,btc-updown-15m-1765388700,0.6,18.0,10.8,1
1765388820,2025-12-11 01:47:00,BUY,Up,btc-updown-15m-1765388700,0.42,18.0,7.56,0
1765388820,2025-12-11 01:47:00,BUY,Up,btc-updown-15m-1765388700,0.42,18.0,7.56,0
1765388820,2025-12-11 01:47:00,BUY,Up,btc-updown-15m-1765388700,0.42,18.0,7.56,0
1765388820,2025-12-11 01:47:00,BUY,Up,btc-updown-15m-1765388700,0.42,18.0,7.56,0
1765388820,2025-12-11 01:47:00,BUY,Up,btc-updown-15m-1765388700,0.42,18.0,7.56,0
1765388822,2025-12-11 01:47:02,BUY,Up,btc-updown-15m-1765388700,0.42,18.0,7.56,0
