时间戳,时间,动作,方向,市场,价格,数量,USDC金额,OutcomeIndex
1765383320,2025-12-11 00:15:20,BUY,Up,btc-updown-15m-1765383300,0.4100000120897933,16.54288,6.782581,0
1765383324,2025-12-11 00:15:24,BUY,Down,btc-updown-15m-1765383300,0.6,2.0,1.2,1
1765383324,2025-12-11 00:15:24,BUY,Down,btc-updown-15m-1765383300,0.6,18.0,10.8,1
1765383324,2025-12-11 00:15:24,BUY,Up,btc-updown-15m-1765383300,0.39000005116130254,5.081966,1.981967,0
1765383326,2025-12-11 00:15:26,BUY,Up,btc-updown-15m-1765383300,0.39,7.0,2.73,0
1765383328,2025-12-11 00:15:28,BUY,Up,btc-updown-15m-1765383300,0.4,18.0,7.2,0
1765383328,2025-12-11 00:15:28,BUY,Up,btc-updown-15m-1765383300,0.4,18.0,7.2,0
1765383328,2025-12-11 00:15:28,BUY,Up,btc-updown-15m-1765383300,0.41,5.0,2.05,0
1765383332,2025-12-11 00:15:32,BUY,Down,btc-updown-15m-1765383300,0.59,12.39,7.3101,1
1765383332,2025-12-11 00:15:32,BUY,Down,btc-updown-15m-1765383300,0.5700002129907478,2.488371,1.418372,1
1765383334,2025-12-11 00:15:34,BUY,Down,btc-updown-15m-1765383300,0.59,5.0,2.95,1
1765383334,2025-12-11 00:15:34,BUY,Down,btc-updown-15m-1765383300,0.5900001869497473,3.102438,1.830439,1
1765383334,2025-12-11 00:15:34,BUY,Down,btc-updown-15m-1765383300,0.59,5.8,3.422,1
1765383334,2025-12-11 00:15:34,BUY,Down,btc-updown-15m-1765383300,0.5900000164000027,12.19512,7.195121,1
1765383336,2025-12-11 00:15:36,BUY,Down,btc-updown-15m-1765383300,0.59,18.0,10.62,1
1765383336,2025-12-11 00:15:36,BUY,Down,btc-updown-15m-1765383300,0.59,18.0,10.62,1
1765383336,2025-12-11 00:15:36,BUY,Down,btc-updown-15m-1765383300,0.59,9.89,5.8351,1
1765383340,2025-12-11 00:15:40,BUY,Up,btc-updown-15m-1765383300,0.4200000629152901,5.086204,2.136206,0
1765383340,2025-12-11 00:15:40,BUY,Up,btc-updown-15m-1765383300,0.42,6.39655,2.686551,0
1765383342,2025-12-11 00:15:42,BUY,Up,btc-updown-15m-1765383300,0.42,3.49,1.4658,0
1765383342,2025-12-11 00:15:42,BUY,Up,btc-updown-15m-1765383300,0.42,1.51,0.6342,0
