时间戳,时间,动作,方向,市场,价格,数量,USDC金额,OutcomeIndex
1765387826,2025-12-11 01:30:26,BUY,Down,btc-updown-15m-1765387800,0.49000005100004124,2.156861,1.056862,1
1765387826,2025-12-11 01:30:26,BUY,Down,btc-updown-15m-1765387800,0.49000005100004124,2.156861,1.056862,1
1765387828,2025-12-11 01:30:28,BUY,Down,btc-updown-15m-1765387800,0.49,13.68,6.7032,1
1765387828,2025-12-11 01:30:28,BUY,Down,btc-updown-15m-1765387800,0.51,18.0,9.18,1
1765387828,2025-12-11 01:30:28,BUY,Down,btc-updown-15m-1765387800,0.51,18.0,9.18,1
1765387828,2025-12-11 01:30:28,BUY,Down,btc-updown-15m-1765387800,0.51,18.0,9.18,1
1765387830,2025-12-11 01:30:30,BUY,Down,btc-updown-15m-1765387800,0.5,18.0,9.0,1
1765387830,2025-12-11 01:30:30,BUY,Down,btc-updown-15m-1765387800,0.5,18.0,9.0,1
1765387830,2025-12-11 01:30:30,BUY,Down,btc-updown-15m-1765387800,0.5,18.0,9.0,1
1765387834,2025-12-11 01:30:34,BUY,Up,btc-updown-15m-1765387800,0.47,2.0,0.94,0
1765387834,2025-12-11 01:30:34,BUY,Up,btc-updown-15m-1765387800,0.47,18.0,8.46,0
1765387840,2025-12-11 01:30:40,BUY,Down,btc-updown-15m-1765387800,0.55,18.0,9.9,1
1765387840,2025-12-11 01:30:40,BUY,Down,btc-updown-15m-1765387800,0.55,18.0,9.9,1
1765387840,2025-12-11 01:30:40,BUY,Down,btc-updown-15m-1765387800,0.55,18.0,9.9,1
1765387840,2025-12-11 01:30:40,BUY,Down,btc-updown-15m-1765387800,0.55,18.0,9.9,1
1765387840,2025-12-11 01:30:40,BUY,Down,btc-updown-15m-1765387800,0.55,18.0,9.9,1
1765387840,2025-12-11 01:30:40,BUY,Down,btc-updown-15m-1765387800,0.55,18.0,9.9,1
1765387840,2025-12-11 01:30:40,BUY,Down,btc-updown-15m-1765387800,0.55,18.0,9.9,1
1765387842,2025-12-11 01:30:42,BUY,Up,btc-updown-15m-1765387800,0.41,18.0,7.38,0
1765387842,2025-12-11 01:30:42,BUY,Up,btc-updown-15m-1765387800,0.41,10.0,4.1,0
1765387842,2025-12-11 01:30:42,BUY,Up,btc-updown-15m-1765387800,0.41,18.0,7.38,0
1765387842,2025-12-11 01:30:42,BUY,Up,btc-updown-15m-1765387800,0.41,18.0,7.38,0
1765387842,2025-12-11 01:30:42,BUY,Up,btc-updown-15m-1765387800,0.41,18.0,7.38,0
1765387842,2025-12-11 01:30:42,BUY,Up,btc-updown-15m-1765387800,0.41,18.0,7.38,0
1765387842,2025-12-11 01:30:42,BUY,Up,btc-updown-15m-1765387800,0.41,8.0,3.28,0
1765387844,2025-12-11 01:30:44,BUY,Up,btc-updown-15m-1765387800,0.4,18.0,7.2,0
1765387844,2025-12-11 01:30:44,BUY,Up,btc-updown-15m-1765387800,0.4,5.0,2.0,0
1765387846,2025-12-11 01:30:46,BUY,Up,btc-updown-15m-1765387800,0.3900006458835687,0.557376,0.217377,0
